Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,group
401,0,0,6,1.93,0.269,patient
401,0,1,6,2.095,0.264,patient
401,0,0,6,1.825,0.328,patient
401,1,1,4,1.865,0.478,patient
401,0,0,6,1.565,0.309,patient
401,0,0,6,1.73,0.359,patient
401,0,1,3,2.195,0.319,patient
401,0,0,6,1.305,0.274,patient
401,0,1,1,3.99,2.544,patient
401,0,0,6,1.466,0.469,patient
401,1,0,4,1.46,1.098,patient
401,0,1,1,2.324,0.569,patient
401,1,0,6,1.33,0.309,patient
401,1,1,1,3.95,0.539,patient
401,0,0,6,1.28,0.385,patient
401,1,1,2,1.805,1.749,patient
401,0,0,6,1.139,0.343,patient
401,1,1,3,2.194,0.789,patient
401,1,1,1,1.625,0.469,patient
401,1,1,2,1.41,0.459,patient
401,1,1,3,1.38,0.558,patient
401,0,0,4,1.364,1.433,patient
401,0,1,2,2.375,1.074,patient
401,0,0,6,1.42,0.379,patient
401,1,1,6,2.055,0.244,patient
401,1,1,4,2.505,0.934,patient
401,0,0,6,1.311,0.343,patient
401,0,1,3,2.61,2.304,patient
401,1,1,6,1.774,0.266,patient
401,0,0,6,1.155,0.329,patient
401,1,1,6,2.91,0.304,patient
401,0,0,2,2.146,1.369,patient
401,0,1,6,1.56,0.214,patient
401,0,1,6,1.924,0.434,patient
401,0,0,6,1.09,0.284,patient
401,0,1,6,1.895,0.239,patient
401,0,0,3,1.535,2.359,patient
401,0,1,6,2.326,0.469,patient
401,1,1,6,1.325,0.234,patient
401,1,1,4,1.605,0.469,patient
401,0,0,6,2.1,0.454,patient
401,1,1,6,1.539,0.214,patient
401,1,0,6,2.85,0.239,patient
401,1,0,6,1.846,0.209,patient
401,1,0,5,1.56,0.379,patient
401,1,1,2,6.829,1.339,patient
401,0,1,3,2.15,0.769,patient
401,0,0,5,3.641,0.774,patient
401,1,0,3,1.1,1.129,patient
401,1,0,6,1.27,0.454,patient
401,0,0,6,1.36,1.384,patient
401,0,1,2,4.905,0.784,patient
401,1,1,6,4.001,0.279,patient
401,1,1,4,3.203,0.414,patient
401,0,0,2,1.695,0.674,patient
401,0,0,6,1.189,0.239,patient
401,1,1,4,1.464,0.614,patient
401,1,1,3,1.676,0.309,patient
401,1,0,2,2.74,0.649,patient
401,1,1,6,1.475,0.369,patient
401,1,0,5,1.144,0.623,patient
401,1,1,1,2.165,0.484,patient
401,1,1,6,2.639,0.374,patient
401,1,0,4,1.416,1.229,patient
401,1,1,6,1.275,0.269,patient
401,0,0,4,1.36,1.348,patient
401,1,1,2,1.455,0.374,patient
401,0,1,3,1.19,0.339,patient
401,0,1,6,1.249,0.244,patient
401,1,1,6,1.55,0.314,patient
401,0,0,4,1.771,3.019,patient
401,0,1,6,2.995,0.509,patient
401,1,1,2,2.454,0.344,patient
401,0,0,6,1.575,0.344,patient
401,0,0,6,3.391,0.559,patient
401,1,1,2,4.764,2.214,patient
401,1,0,2,4.054,1.039,patient
401,1,0,5,2.78,0.319,patient
401,0,0,4,1.01,0.699,patient
401,0,0,1,2.959,0.949,patient
401,1,1,2,3.129,0.434,patient
401,0,0,1,1.334,0.874,patient
401,1,1,6,1.604,0.373,patient
401,1,1,6,1.32,0.289,patient
401,1,0,6,1.63,0.404,patient
401,0,0,6,1.449,0.669,patient
401,0,1,2,4.589,0.384,patient
401,1,1,6,2.294,0.283,patient
401,1,1,6,2.909,0.339,patient
401,0,0,6,2.154,0.289,patient
401,0,1,6,1.564,0.259,patient
401,0,1,6,1.429,0.229,patient
401,1,1,5,1.694,0.204,patient
401,0,0,6,1.194,0.272,patient
401,0,1,2,1.914,0.203,patient
401,0,1,1,1.8,0.809,patient
401,0,0,5,1.079,0.809,patient
401,1,1,1,2.399,0.919,patient
401,1,1,3,1.219,0.419,patient
401,0,0,6,1.159,0.329,patient
401,1,1,6,1.639,0.209,patient
401,1,0,1,3.002,0.481,patient
401,1,1,1,3.278,0.254,patient
401,1,1,1,1.399,0.279,patient
401,1,1,6,1.619,0.329,patient
401,1,1,6,1.234,0.203,patient
401,1,1,6,1.174,0.233,patient
401,0,1,2,3.99,0.214,patient
401,1,1,6,1.074,0.419,patient
401,1,1,6,1.299,0.744,patient
401,0,0,6,1.399,0.219,patient
401,1,1,6,1.279,0.234,patient
401,0,0,6,1.594,0.164,patient
401,0,1,1,3.164,0.253,patient
401,0,0,3,1.79,1.254,patient
401,1,1,4,2.319,0.303,patient
401,0,1,3,2.549,0.969,patient
401,0,1,2,3.729,1.269,patient
401,0,0,3,1.379,1.725,patient
401,0,1,6,2.369,0.849,patient
401,0,0,6,1.074,1.829,patient
401,0,1,4,2.899,0.824,patient
401,0,0,1,1.059,3.48,patient
401,1,1,6,1.768,0.184,patient
401,1,0,4,1.279,0.649,patient
401,0,0,4,1.149,4.224,patient
401,1,1,6,3.509,0.694,patient
401,1,1,6,1.575,0.169,patient
401,0,0,6,1.244,0.274,patient
401,1,0,6,1.419,0.239,patient
401,0,1,2,1.709,0.844,patient
401,1,0,6,1.454,0.314,patient
401,0,1,6,2.909,0.939,patient
401,1,1,6,1.154,0.199,patient
401,0,1,1,2.78,0.354,patient
401,1,0,4,2.679,0.739,patient
401,1,1,6,1.399,0.229,patient
401,0,0,1,2.474,0.367,patient
401,1,0,1,1.479,0.309,patient
401,1,0,6,1.504,0.329,patient
401,1,1,1,3.82,0.824,patient
401,1,0,4,1.274,0.749,patient
401,1,1,6,1.425,0.199,patient
401,1,1,6,1.428,0.234,patient
401,1,1,6,2.494,0.234,patient
401,1,1,6,1.099,0.284,patient
401,1,1,6,0.909,0.199,patient
401,1,1,6,0.913,0.234,patient
402,0,1,3,5.176,1.738,patient
402,0,0,5,1.54,1.288,patient
402,0,0,6,1.134,1.194,patient
402,1,1,2,1.65,1.65,patient
402,1,0,5,4.29,1.409,patient
402,0,0,5,1.285,1.159,patient
402,1,1,5,1.155,1.854,patient
402,1,1,5,1.97,0.76,patient
402,1,1,5,1.322,0.57,patient
402,0,1,5,2.136,0.45,patient
402,0,1,3,1.741,0.835,patient
402,1,1,5,1.876,0.625,patient
402,0,1,5,3.551,0.485,patient
402,1,0,5,0.891,0.646,patient
402,1,0,5,1.111,0.595,patient
402,0,0,5,1.566,0.455,patient
402,1,1,5,1.356,0.938,patient
402,1,1,5,2.046,0.67,patient
402,1,1,5,0.991,0.665,patient
402,1,1,5,2.146,0.37,patient
402,1,1,5,1.067,0.35,patient
402,0,1,2,2.081,1.2,patient
402,1,1,2,1.051,0.62,patient
402,0,1,2,2.361,0.41,patient
402,1,1,2,1.236,0.4,patient
402,1,1,2,0.876,0.395,patient
402,0,1,3,3.477,1.62,patient
402,0,0,5,1.401,1.075,patient
402,1,1,5,3.591,0.495,patient
402,0,1,5,1.166,0.435,patient
402,1,0,5,1.096,0.42,patient
402,1,1,5,2.181,0.396,patient
402,1,1,5,1.171,0.35,patient
402,0,0,5,1.616,0.49,patient
402,1,1,5,1.316,0.38,patient
402,0,1,5,2.031,0.435,patient
402,0,0,5,0.926,0.335,patient
402,0,0,5,1.026,0.275,patient
402,0,0,5,1.286,0.295,patient
402,0,1,2,3.152,1.315,patient
402,1,0,3,2.476,0.955,patient
402,0,1,2,1.405,0.54,patient
402,0,1,2,2.291,0.485,patient
402,0,0,5,1.326,0.684,patient
402,1,1,5,1.076,0.556,patient
402,0,1,5,3.251,0.405,patient
402,1,1,5,1.646,0.34,patient
402,0,0,5,1.721,0.425,patient
402,0,0,5,1.191,0.335,patient
402,1,0,5,2.395,0.365,patient
402,0,1,2,0.94,0.565,patient
402,1,1,3,2.867,1.735,patient
402,0,0,5,1.31,0.894,patient
402,0,1,2,3.136,1.59,patient
402,1,1,2,2.351,1.385,patient
402,1,0,6,2.367,0.94,patient
402,1,0,3,2.146,1.05,patient
402,0,0,3,1.046,0.45,patient
402,1,1,3,2.561,0.675,patient
402,1,1,3,3.601,0.381,patient
402,1,0,3,0.956,0.425,patient
402,0,1,6,3.166,0.55,patient
402,1,0,3,1.066,0.735,patient
402,0,1,3,4.105,0.54,patient
402,1,1,3,1.001,0.39,patient
402,0,1,3,2.678,0.315,patient
402,1,0,3,0.931,0.47,patient
402,0,0,3,1.012,1.44,patient
402,0,0,3,1.351,0.675,patient
402,1,0,3,1.136,0.304,patient
402,1,1,3,2.729,0.39,patient
402,0,1,5,1.251,4.076,patient
402,0,0,5,1.941,0.71,patient
402,1,0,2,1.201,0.84,patient
402,0,0,5,1.176,0.73,patient
402,0,0,5,1.521,0.325,patient
402,0,0,5,1.871,0.325,patient
402,0,1,2,1.397,0.895,patient
402,1,1,5,1.005,0.525,patient
402,1,1,2,1.341,0.755,patient
402,1,1,2,0.941,0.39,patient
402,1,1,2,2.896,0.354,patient
402,0,0,3,1.351,0.59,patient
402,1,0,3,1.119,0.363,patient
402,1,0,6,1.117,0.655,patient
402,0,0,5,1.98,0.47,patient
402,1,1,2,5.751,0.83,patient
402,0,0,5,0.901,0.91,patient
402,0,1,2,1.406,0.475,patient
402,0,0,5,3.232,0.65,patient
402,1,0,5,2.196,0.37,patient
402,1,1,2,1.556,0.394,patient
402,0,0,5,1.136,0.625,patient
402,0,0,5,0.991,0.36,patient
402,1,0,5,1.651,0.295,patient
402,0,0,5,1.282,0.315,patient
402,1,1,2,1.98,0.565,patient
402,1,1,3,1.275,0.36,patient
402,0,0,3,1.151,0.625,patient
402,1,0,3,0.881,0.39,patient
402,1,0,3,1.416,0.314,patient
402,1,0,3,1.226,0.35,patient
402,1,1,3,3.627,0.38,patient
402,1,1,3,1.511,0.484,patient
402,1,1,3,2.021,0.305,patient
402,1,0,4,3.721,2.25,patient
402,1,1,4,1.806,0.57,patient
402,1,0,4,0.815,0.606,patient
402,0,0,4,1.01,0.358,patient
402,0,0,4,0.941,0.375,patient
402,0,0,4,1.291,0.285,patient
402,1,0,4,0.856,0.345,patient
402,0,0,4,0.826,0.27,patient
402,1,0,4,0.851,0.35,patient
402,1,0,4,1.035,0.33,patient
402,0,0,4,1.206,0.255,patient
402,1,1,4,2.776,0.429,patient
402,0,0,4,2.841,0.395,patient
402,1,0,4,0.946,0.36,patient
402,1,1,4,2.645,2.674,patient
402,1,1,2,2.876,0.495,patient
402,1,0,5,1.536,0.75,patient
402,1,0,5,2.706,0.42,patient
402,0,0,5,1.146,0.465,patient
402,1,1,4,1.111,1.075,patient
402,1,1,4,0.936,0.39,patient
402,1,1,4,1.266,0.37,patient
402,0,0,4,0.886,0.389,patient
402,0,0,4,0.857,0.62,patient
402,1,0,4,3.179,0.364,patient
402,0,0,4,2.106,0.294,patient
402,0,0,2,0.971,0.355,patient
402,1,0,2,2.84,0.475,patient
402,0,0,2,0.775,0.285,patient
402,1,1,2,1.876,0.46,patient
402,0,0,3,0.871,0.4,patient
402,1,0,3,1.18,0.55,patient
402,0,0,3,1.245,0.235,patient
402,0,0,3,0.961,0.285,patient
402,0,0,3,0.9,0.285,patient
402,0,0,3,1.962,0.285,patient
402,0,0,3,1.256,0.285,patient
402,1,0,3,1.996,0.305,patient
402,0,1,3,2.99,0.545,patient
402,1,1,3,1.13,0.35,patient
402,0,0,3,1.621,0.31,patient
402,0,0,3,0.916,0.28,patient
402,1,0,3,0.98,0.265,patient
402,1,0,3,0.884,0.32,patient
402,0,0,3,0.83,0.25,patient
402,0,0,6,1.511,0.35,patient
402,0,0,5,1.255,1.605,patient
402,0,0,5,0.845,0.3,patient
402,0,0,5,1.05,0.274,patient
402,1,0,5,0.917,0.295,patient
402,0,0,4,0.79,0.26,patient
402,1,1,2,1.825,0.435,patient
402,1,0,5,2.029,1.031,patient
402,0,0,5,2.215,0.395,patient
402,1,0,5,0.775,0.335,patient
402,0,0,5,0.835,0.365,patient
402,0,0,5,0.685,0.235,patient
402,0,0,5,1.75,0.485,patient
402,0,0,5,1.22,0.375,patient
402,0,0,5,1.53,0.34,patient
402,1,0,4,2.345,1.265,patient
402,0,1,4,2.12,0.71,patient
402,1,1,2,4.47,0.73,patient
402,0,0,2,1.155,0.675,patient
402,0,1,2,1.695,1.466,patient
402,1,1,2,2.555,0.705,patient
402,0,1,2,2.37,0.295,patient
402,1,0,5,1.739,1.54,patient
402,0,0,5,1.07,0.425,patient
402,1,1,5,2.318,1.345,patient
402,1,1,5,3.131,0.595,patient
402,1,1,5,1.225,0.29,patient
402,0,0,5,1.045,0.93,patient
402,0,0,5,1.018,0.28,patient
402,1,0,5,2.015,0.37,patient
402,0,0,5,1.705,0.29,patient
402,0,0,5,1.351,0.345,patient
402,1,0,5,3.335,0.335,patient
402,0,0,5,2.725,0.299,patient
402,0,0,5,2.035,0.395,patient
402,0,0,2,1.08,0.385,patient
402,0,0,3,2.475,0.35,patient
402,0,0,3,1.713,0.319,patient
402,1,1,4,4.7,0.385,patient
402,1,1,4,1.75,0.54,patient
402,1,0,4,3.219,0.369,patient
402,0,0,4,0.815,0.295,patient
402,1,0,4,0.73,0.316,patient
402,0,0,4,1.129,0.394,patient
402,1,0,4,1.74,0.29,patient
402,0,0,2,0.845,0.29,patient
402,1,0,1,2.145,0.83,patient
402,0,0,2,1.72,0.815,patient
402,1,1,5,1.4,0.63,patient
402,1,1,5,0.999,0.278,patient
403,0,1,1,19.959,6.295,patient
403,0,0,6,4.911,1.76,patient
403,1,1,6,3.615,4.16,patient
403,1,0,6,7.001,4.566,patient
403,1,1,6,5.176,2.915,patient
403,1,1,6,5.362,2.055,patient
403,1,1,6,3.821,1.085,patient
403,0,1,4,7.276,2.271,patient
403,1,1,5,6.071,1.815,patient
403,1,1,5,2.996,1.58,patient
403,1,0,3,8.322,2.445,patient
403,1,1,5,3.811,1.55,patient
403,0,0,6,3.942,1.45,patient
403,1,1,6,3.091,2.36,patient
403,0,0,6,3.826,2.195,patient
403,0,0,1,5.666,1.475,patient
403,1,1,6,3.446,2.814,patient
403,0,0,6,3.211,1.245,patient
403,0,0,6,2.912,1.21,patient
403,0,1,6,3.121,1.6,patient
403,1,1,5,2.926,3.1,patient
403,0,1,6,2.807,1.5,patient
403,0,1,6,3.376,1.71,patient
403,1,0,6,2.651,1.145,patient
403,1,1,6,3.041,1.866,patient
403,0,0,5,1.951,0.88,patient
403,0,1,6,5.776,0.96,patient
403,0,1,6,2.251,1.095,patient
403,1,0,1,3.467,0.84,patient
403,0,0,6,3.176,0.84,patient
403,0,0,6,2.936,0.769,patient
403,0,0,5,4.716,1.191,patient
403,0,0,1,3.451,0.485,patient
403,0,0,6,2.451,0.819,patient
403,0,0,6,3.126,0.975,patient
403,1,0,6,1.036,0.5,patient
403,1,1,5,3.042,0.875,patient
403,1,1,5,1.916,0.525,patient
403,1,0,5,2.347,0.735,patient
403,1,0,6,4.381,0.525,patient
403,1,1,5,2.462,1.525,patient
403,0,1,6,2.886,0.755,patient
403,1,1,6,2.006,0.935,patient
403,1,0,6,2.876,0.805,patient
403,0,0,6,2.706,0.536,patient
403,0,0,6,1.526,0.56,patient
403,0,0,6,1.001,0.52,patient
403,0,0,6,1.816,0.44,patient
403,0,1,1,3.311,1.205,patient
403,0,0,6,3.301,1.025,patient
403,0,0,6,1.642,0.61,patient
403,0,0,6,1.901,0.625,patient
403,0,0,6,0.901,0.45,patient
403,0,0,1,2.661,0.55,patient
403,0,0,5,1.941,0.96,patient
403,0,1,6,2.102,1.18,patient
403,1,1,5,1.811,0.825,patient
403,0,1,5,4.776,1.05,patient
403,0,1,1,3.066,0.485,patient
403,1,0,6,3.292,1.08,patient
403,1,0,6,2.491,0.63,patient
403,0,1,5,2.331,0.855,patient
403,1,1,2,2.081,1.065,patient
403,0,1,4,3.176,1.146,patient
403,1,1,5,3.881,1.24,patient
403,0,0,5,3.157,0.445,patient
403,0,0,6,1.661,0.585,patient
403,1,1,5,1.976,0.955,patient
403,0,1,5,2.737,0.68,patient
403,1,0,5,2.847,0.625,patient
403,1,1,2,1.686,1.842,patient
403,0,1,1,2.786,0.39,patient
403,1,1,2,3.458,1.39,patient
403,0,1,5,2.086,1.87,patient
403,1,1,6,2.211,1.641,patient
403,0,1,2,3.102,1.275,patient
403,1,1,2,2.512,1.48,patient
403,0,1,5,3.446,0.91,patient
403,1,0,1,3.846,0.69,patient
403,1,1,3,3.762,2.29,patient
403,1,0,1,2.741,0.756,patient
403,0,0,6,2.677,0.62,patient
403,1,1,5,2.276,1.955,patient
403,1,1,5,1.892,1.89,patient
403,1,1,5,2.431,1.89,patient
403,0,0,6,1.626,0.55,patient
403,1,1,5,1.766,1.72,patient
403,0,1,5,3.578,1.42,patient
403,1,0,5,2.377,0.95,patient
403,1,0,6,2.117,0.96,patient
403,0,1,6,2.507,0.795,patient
403,1,0,6,2.73,0.58,patient
403,1,1,6,2.847,1.06,patient
403,0,1,6,1.906,0.55,patient
403,1,0,5,2.284,0.645,patient
403,0,1,6,2.496,1.555,patient
403,1,1,1,3.392,0.555,patient
403,1,1,6,2.491,1.405,patient
403,1,1,6,2.261,0.435,patient
403,1,1,5,3.301,0.985,patient
403,1,1,6,1.986,1.411,patient
403,1,1,6,2.301,0.995,patient
403,0,0,1,1.636,0.64,patient
403,1,1,6,2.335,0.53,patient
403,0,0,6,2.911,0.695,patient
403,1,0,5,2.838,0.625,patient
403,0,1,5,3.246,0.545,patient
403,0,1,2,2.491,1.871,patient
403,1,0,5,3.686,0.52,patient
403,1,1,5,1.802,0.7,patient
403,1,1,5,2.837,0.825,patient
403,1,1,6,1.401,1.04,patient
403,1,1,6,1.742,0.495,patient
403,1,0,6,1.601,0.526,patient
403,1,1,6,1.81,0.466,patient
403,1,1,6,3.097,0.52,patient
403,0,0,1,2.261,0.58,patient
403,0,0,6,5.307,0.775,patient
403,0,0,6,2.316,0.715,patient
403,0,0,5,2.683,1.005,patient
403,0,0,6,2.236,1.06,patient
403,1,1,5,1.841,0.82,patient
403,0,0,6,1.722,0.82,patient
403,0,0,5,2.116,0.465,patient
403,1,1,6,1.867,0.695,patient
403,0,0,6,3.996,0.575,patient
403,1,0,6,1.186,0.545,patient
403,1,1,6,1.756,0.57,patient
403,1,0,6,2.676,0.655,patient
403,1,1,6,1.957,1.119,patient
403,0,0,5,2.442,0.545,patient
403,0,1,6,2.76,0.785,patient
403,1,1,6,5.275,0.965,patient
403,0,0,4,2.377,0.66,patient
403,1,1,5,2.3,0.75,patient
403,1,0,1,2.176,0.515,patient
403,1,1,6,2.15,1.145,patient
403,0,1,5,3.236,0.815,patient
403,0,0,6,1.696,0.55,patient
403,1,1,6,3.134,1.105,patient
403,1,0,1,5.651,0.49,patient
403,1,1,6,4.977,1.205,patient
403,1,1,3,2.32,0.665,patient
403,0,0,5,1.715,0.575,patient
403,0,0,6,2.625,0.42,patient
403,1,0,6,1.535,0.981,patient
403,0,1,5,1.991,1.4,patient
403,1,1,1,2.63,2.325,patient
403,0,0,5,2,0.605,patient
403,0,0,4,3.146,0.58,patient
403,0,0,6,1.496,0.615,patient
403,0,0,6,2.291,0.46,patient
403,0,0,6,1.556,0.875,patient
403,0,1,4,2.41,0.595,patient
403,1,1,4,2.391,0.7,patient
403,0,1,5,3.881,0.43,patient
403,1,0,1,4.05,0.361,patient
403,0,0,5,1.895,0.595,patient
403,1,1,5,1.971,0.59,patient
403,1,0,6,2.34,0.701,patient
403,0,0,6,2.296,0.441,patient
403,1,0,3,2,1.43,patient
403,1,1,4,1.755,1.535,patient
403,0,0,6,2.31,0.496,patient
403,1,0,6,1.621,0.475,patient
403,1,0,4,1.636,0.855,patient
403,0,0,5,1.67,0.746,patient
403,0,0,6,1.456,0.524,patient
403,0,0,6,1.815,0.59,patient
403,0,0,6,1.87,0.64,patient
403,1,0,3,1.055,1.225,patient
403,0,0,5,1.491,0.87,patient
403,1,0,2,1.705,0.53,patient
403,0,0,6,2.486,0.545,patient
403,1,0,6,2.221,0.495,patient
403,1,1,5,2.061,0.505,patient
403,0,1,4,2.381,1.459,patient
403,1,0,6,2.6,0.56,patient
403,0,0,6,1.06,0.414,patient
403,0,0,6,1.775,0.445,patient
403,0,0,2,1.196,0.595,patient
403,1,0,2,1.97,0.565,patient
403,0,0,6,1.39,0.49,patient
403,1,0,1,3.166,0.42,patient
403,0,0,6,1.101,0.436,patient
403,1,0,6,2.521,0.396,patient
403,0,0,6,0.95,0.426,patient
403,1,0,2,2.096,0.395,patient
403,1,1,5,3.049,0.805,patient
403,1,1,6,1.515,0.425,patient
403,0,0,6,1.225,0.415,patient
403,0,1,5,2.7,1.33,patient
403,1,0,3,1.651,0.925,patient
403,1,1,6,2.175,1.461,patient
403,0,0,6,1.555,0.46,patient
403,0,1,3,2.071,0.88,patient
403,0,0,6,1.54,0.535,patient
403,0,0,6,3.296,0.42,patient
403,1,0,6,1.36,0.41,patient
403,0,0,3,1.211,0.87,patient
404,1,1,6,4.053,1.013,patient
404,0,0,6,1.737,0.38,patient
404,0,0,6,1.436,0.515,patient
404,1,1,6,4.321,0.219,patient
404,0,1,6,1.56,0.35,patient
404,1,1,2,2.655,1.85,patient
404,1,1,6,2.592,0.99,patient
404,0,1,2,6.421,0.39,patient
404,1,1,2,2.171,0.195,patient
404,1,1,4,3.421,1.096,patient
404,0,0,4,2.981,0.565,patient
404,1,1,4,3.511,2.625,patient
404,1,1,4,2.341,0.365,patient
404,1,0,4,1.481,0.465,patient
404,0,0,6,1.962,0.24,patient
404,0,0,6,1.811,0.255,patient
404,0,1,6,2.541,0.845,patient
404,1,1,6,2.116,0.22,patient
404,1,1,6,2.096,0.345,patient
404,1,1,6,1.93,0.195,patient
404,0,0,6,1.606,0.295,patient
404,0,1,2,4.236,0.32,patient
404,1,1,6,2.681,0.23,patient
404,0,1,6,1.93,0.22,patient
404,1,1,6,1.436,0.215,patient
404,1,1,6,1.292,0.19,patient
404,1,1,6,1.311,0.185,patient
404,0,0,5,2.156,0.53,patient
404,0,0,6,1.291,0.275,patient
404,0,1,6,1.851,0.325,patient
404,1,1,6,2.196,0.21,patient
404,1,0,6,2.856,0.21,patient
404,0,1,6,1.702,0.175,patient
404,1,1,6,2.691,0.195,patient
404,0,0,6,1.231,0.199,patient
404,0,1,6,1.406,0.225,patient
404,0,1,6,2.071,0.67,patient
404,1,1,6,1.58,0.18,patient
404,1,1,6,1.932,0.185,patient
404,0,0,6,1.521,0.205,patient
404,1,0,6,0.951,0.2,patient
404,1,1,6,1.251,0.215,patient
404,0,0,6,1.096,0.19,patient
404,0,0,6,3.43,0.17,patient
404,0,1,6,2.116,0.17,patient
404,0,0,6,1.391,0.18,patient
404,0,0,6,1.192,0.36,patient
404,1,1,6,1.296,0.22,patient
404,0,1,6,1.091,0.19,patient
404,0,1,6,0.981,0.19,patient
404,0,1,6,1.971,0.16,patient
404,1,0,2,1.953,2.175,patient
404,1,0,5,4.732,0.26,patient
404,1,1,6,1.341,1.265,patient
404,1,0,6,3.621,0.255,patient
404,1,0,6,1.931,0.235,patient
404,0,0,6,1.036,0.215,patient
404,0,0,6,0.871,0.25,patient
404,0,0,6,1.537,0.215,patient
404,0,0,6,0.986,0.27,patient
404,1,0,6,1.071,0.225,patient
404,0,0,6,0.691,0.245,patient
404,1,1,6,1.286,0.285,patient
404,1,0,6,4.481,0.185,patient
404,1,0,6,1.362,0.275,patient
404,1,1,1,3.257,0.805,patient
404,1,0,2,4.741,0.215,patient
404,0,1,2,4.876,0.189,patient
404,0,0,1,2.977,0.189,patient
404,1,0,1,2.101,0.245,patient
404,0,0,1,1.396,1.1,patient
404,1,1,2,1.716,0.435,patient
404,1,0,6,1.521,0.815,patient
404,1,1,6,2.226,0.235,patient
404,1,0,6,1.19,0.33,patient
404,0,0,6,2.312,0.155,patient
404,0,1,6,1.481,0.2,patient
404,0,1,6,1.416,0.165,patient
404,1,1,6,0.936,0.175,patient
404,1,1,6,2.981,0.135,patient
404,0,0,2,2.401,0.235,patient
404,1,0,6,2.077,0.165,patient
404,0,0,6,1.201,0.19,patient
404,1,1,6,1.381,0.19,patient
404,0,1,6,1.831,0.145,patient
404,1,0,6,1.581,0.185,patient
404,0,0,2,4.066,0.125,patient
404,1,1,4,2.065,1.256,patient
404,0,0,6,2.136,0.32,patient
404,0,0,6,1.271,0.335,patient
404,0,0,2,2.861,0.185,patient
404,0,0,2,2.276,0.195,patient
404,1,1,6,1.578,0.25,patient
404,0,0,2,3.002,0.19,patient
404,1,1,6,1.891,0.3,patient
404,1,0,2,2.616,0.175,patient
404,1,0,2,3.359,0.17,patient
404,0,1,6,1.33,0.3,patient
404,1,0,3,2.166,2.021,patient
404,0,1,2,2.776,0.9,patient
404,0,1,2,2.441,0.809,patient
404,1,0,6,1.611,0.24,patient
404,1,1,6,1.666,0.21,patient
404,1,0,3,2,1.17,patient
404,1,1,6,2.287,0.17,patient
404,1,1,6,1.413,0.215,patient
404,0,0,1,1.991,0.21,patient
404,0,0,6,2.191,0.21,patient
404,1,0,6,2.861,0.12,patient
404,0,1,6,2.221,0.155,patient
404,1,1,3,2.624,0.205,patient
404,0,0,6,1.346,0.315,patient
404,0,0,6,1.971,0.21,patient
404,1,1,6,1.968,0.15,patient
404,0,0,1,3.816,0.23,patient
404,0,0,2,3.282,0.235,patient
404,1,1,6,2.681,0.18,patient
404,1,1,6,2.01,0.163,patient
404,1,1,6,0.992,0.14,patient
404,0,1,6,1.049,0.17,patient
404,1,1,6,0.901,0.14,patient
404,0,1,6,1.411,0.13,patient
404,0,0,2,3.342,0.23,patient
404,0,0,6,1.811,0.245,patient
404,0,0,6,1.186,0.304,patient
404,1,0,6,0.866,0.195,patient
404,0,0,6,0.656,0.209,patient
404,1,1,5,1.76,0.24,patient
404,0,0,1,1.621,0.215,patient
404,0,0,4,3.762,0.37,patient
404,1,1,6,1.365,0.22,patient
404,1,0,6,1.885,0.175,patient
404,1,1,4,2.446,0.89,patient
