Category,Name_in_database,Authors,Journal,Year,Expt_in_paper,Stimuli,Num_subjects,Min_trials_per_subject,Max_trials_per_subject,Num_tasks_x_conditions,Confidence_type,Confidence_scale,Conf_simultaneous_with_decision,Manipulations,Notes
Perception,Kvam_2015_nc,"Kvam, Pleskac, Yu, Busemeyer",PNAS,2015,No-choice condition,Random dot kinematogramms,9,1296,1632,1,confidence rating,continuous (50-100),yes,"coherence, timing of confidence prompt, choice/no-choice (see previous entry)",
Perception,Kvam_2016,Kvam and Pleskac,Cognition,2016,Expt 2,Colored dots,29,20,160,1,confidence rating,continuous (50-100),yes,"proportion of dots favoring option A:B, number of total dots",
Perception,Law_unpub,"Law, Lee",Unpublished,,,Random Dot Kinematogram,16,1200,1200,1,confidence rating,4-point,yes,motion coherence,
Perception ,Lebreton_2018,"Lebreton, et al.",Sci. Advances,2018,Expt 1-4,Gabors,125,108,324,1,confidence rating,continuous (50-100),no,incentives,
Perception,Lempert_2015,"Lempert, Chen, & Fleming",PlosOne,2015,,auditory stimuli: click trains,40,180,180,1,confidence rating,6-point,no,"auditory version of ""coherence"" (click rate ratio left/right)  ",
Memory,Lindsay_2014,"Lindsay, Kantner, Fallow",book chapter,2014,,"Words, Paintings",47,192,192,3,confidence rating,3-point,yes,stimulus type,
Perception,Lo_unpub,Lo & Duncan,Unpublished,,,Gabors,32,600,600,2,confidence rating,11-point,no,self-nonself association,
Perception,Locke_2020,"Locke*, Gaffin-Cahn*, Hosseinizaveh, Mamassian, & Landy","Attention, Perception, & Psychophysics",2020,,Gabors,10,5260,5980,8,confidence rating,2-point,no,prior probability and reward,
Perception,Maniscalco_2017_expt1,"Maniscalco, McCurdy,Odegaard, & Lau",J Neurosci,2017,Expt 1,gratings in noise,30,1000,1000,1,confidence rating,4-point,no,none,
Perception,Maniscalco_2017_expt2,"Maniscalco, McCurdy,Odegaard, & Lau",J Neurosci,2017,Expt 2,gratings in noise,41,510,510,1,confidence rating,4-point,no,none,"in odd-numbered blocks, no conf ratings collected in first half of the block"
Perception,Maniscalco_2017_expt3,"Maniscalco, McCurdy,Odegaard, & Lau",J Neurosci,2017,Expt 3,gratings in noise,21,1000,1000,1,confidence rating,4-point,no,provision of confidence ratings,"in odd-numbered blocks, no wagers collected in first half of the block"
Perception,Maniscalco_2017_expt4,"Maniscalco, McCurdy,Odegaard, & Lau",J Neurosci,2017,Expt 4,gratings in noise,33,1000,1000,1,wager,4-point,no,provision of wagers,
Perception,Martin_unpub,"Martin, Hsu",Unpublished,,,metacontrast masking figures,21,600,600,2,visibility,2-point,yes,real vs illusory figures,
Perception,Massoni_2017,Massoni & Roux,Journal of Mathematical Psychology,2017,,dots,120,50,50,2,confidence rating,continuous (0-100),no,"feedback, time exposure",
Perception,Massoni_unpub,Massoni ,Unpublished,,,dots,50,200,200,2,confidence rating,continuous (0-100),no,"feedback, difficulty",Split into reports for central & peripheral tasks
Perception,Matthews_2018_exp1,"Matthews, Schröder, Kaunitz, van Boxtel, Tsuchiya",Philosophical Transactions B,2018,Expt 1,Faces / Letters,8,1344,1344,3,confidence rating,4-point,yes,attention,Split into reports for central & peripheral tasks
Perception,Matthews_2018_exp2,"Matthews, Schröder, Kaunitz, van Boxtel, Tsuchiya",Philosophical Transactions B,2018,Expt 2,Discs / Letters,13,1220,1320,4,confidence rating,4-point,yes,"attention, report type",Several participants returned for multiple sessions under different manipulations hence large differences in trial numbers for certain subject IDs.
Memory,Matthews_2019,"Matthews, Wu, Corneille, Hohwy, van Boxtel, Tsuchiya","Attention, Perception, & Psychophysics",2019,,Faces,34,600,1280,8,confidence rating,4-point,yes,"memory type, probe lag, trial length, stimulus type, stimulus orientation",Split into reports for central & peripheral tasks. Included participants with functional and organic motor disorders + age-matched controls
Perception,Matthews_unpub,"Matthews, Nagao, Ding, Newby, Kempster, Hohwy",Unpublished,,,Gabors / Letters,60,720,720,3,confidence rating,4-point,yes,"attention, expectations, clinical condition",
"Mixed (Perception, Episodic memory, Semantic memory, Cognitive)",Mazancieux_2018,"Mazancieux, Fleming, Souchay, & Moulin",PsyArXiv,2018,,dots / words / questions / numbers,181,160,160,4,confidence rating,11-point,no,,There is also a perceptual awareness rating scale in addition to confidence reports on each trial
Perception,Mazor_2020,"Mazor, Friston & Fleming",eLife,2020,,Noisy Gabors,46,400,480,2,confidence rating,6-point,no,Task (detection or discrimination),There is also a perceptual awareness rating scale in addition to confidence reports on each trial
Perception,Mazor_2021_Expt1,"Mazor, Moran & Fleming",Neuroscience of Consciousness,2021,1,Q & O,205,96,96,1,confidence rating,0-1 continuous,no,,
Perception,Mazor_2021_Expt2,"Mazor, Moran & Fleming",Neuroscience of Consciousness,2021,2,C & O,143,96,96,1,confidence rating,0-1 continuous,no,,
Perception,Mazor_2021_Expt3,"Mazor, Moran & Fleming",Neuroscience of Consciousness,2021,3,tilted & vertical lines,289,96,96,1,confidence rating,0-1 continuous,no,,
Perception,Mazor_2021_Expt4,"Mazor, Moran & Fleming",Neuroscience of Consciousness,2021,4,curved & straight lines,199,96,96,1,confidence rating,0-1 continuous,no,,
Perception,Mazor_2021_Expt5,"Mazor, Moran & Fleming",Neuroscience of Consciousness,2021,5,upward & downward tilted cubes,153,96,96,1,confidence rating,0-1 continuous,no,,
Perception,Mazor_2021_Expt6,"Mazor, Moran & Fleming",Neuroscience of Consciousness,2021,6,flipped & normal Ns,118,96,96,1,confidence rating,0-1 continuous,no,,
Perception,Mazor_2021_Expt7,"Mazor, Moran & Fleming",Neuroscience of Consciousness,2021,7,noisy gratings & noise,136,96,96,1,confidence rating,0-1 continuous,no,,
Perception ,Mei_2019_Exp1,"Mei, Rankine,Olafsson, Soto",bioRxiv,2019,Expt 1,Oriented Gratings,15,600,600,1,confidence rating & visibility,2-point,no,Prior to each trial participants made prospective beliefs of success and decisions to engage attention,
Perception ,Mei_2019_Exp2,"Mei, Rankine,Olafsson, Soto",bioRxiv,2019,Expt 2,Oriented Gratings,16,600,600,1,confidence rating & visibility,2-point,no,Prior to each trial participants made prospective beliefs of success and decisions to engage attention,
Perception,OHora_2017,"O'Hora, Zgonnikov, Kenny, Wong-Lin",Fechner Day proceedings,2017,,Random dot kinematogramms,27,528,528,1,wager,5-point,no,,
Perception,OHora_unpub_1,"O'Hora, Zgonnikov, CiChocki",Unpublished,,,Random dot kinematogramms,36,492,528,2,wager,5-point,no,motivation - 50% of participants told of lottery opportunity,
Perception,OHora_unpub_2,"O'Hora, Zgonnikov, Neverauskaite",Unpublished,,,Random dot kinematogramms,29,204,492,1,wager,5-point,no,,
Perception,Palser_2018,Palser et al,Consciousness & Cognition,2018,,Gabors,48,200,200,3,confidence rating,continuous (1-99),no,movement time,
Cognitive,Paulewicz_unpub1,Paulewicz & Wierzcho_,Unpublished,,,AGL strings,53,60,60,1,confidence rating,4-point,no,dual vs single task,
Cognitive,Paulewicz_unpub2,"Paulewicz, Wierzcho_ & Siedlecka",Unpublished,,,Gabors,32,111,128,2,PAS,4-point,no,order of decision and rating,
Cognitive,Paulewicz_unpub3,"Paulewicz, Wierzcho_ & Siedlecka",Unpublished,,,Gabors,45,128,128,2,PAS,4-point,no,order of decision and rating,
Cognitive,Paulewicz_unpub4,"Paulewicz, Wierzcho_ & Siedlecka",Unpublished,,,Gabors,34,128,256,2,PAS,4-point,no,SOA of rating after the stimulus,"same outcome = both trajectories hit / don't hit the target, different outcome = one trajectory hits the target, the other one doesn't"
Perception,Pereira_2018,"Pereira, Faivre, Iturrate et al.",bioRxiv,2018,Expt 1,grid dots,25,96,288,1,confidence rating,continuous (0-1),no,,
Motor,Peters_unpub,"Peters, Filevich",Unpublished,,,ball throw trajectories,40,480,480,2,confidence rating,continuous (0-100),no,"task difficulty, same vs. different outcome",
Perception,Prieto_unpub,Prieto et al. ,Submitted,,,Gabors,204,200,200,1,confidence rating,continuous (1-6),no,contrast,
Perception,Rahnev_2013,Rahnev et al,J Neurophysiol,2013,Expt 2,Gabors,12,4200,4200,6,wager,2-point,yes,TMS to occipital/vertex,
Perception,Rausch_2014,Rausch & Zehetleitner,Consc Cog,2014,,Random dot kinematogramms,20,474,474,2,visibility,continuous (0-3),no,coherence,
Perception,Rausch_2016,Rausch & Zehetleitner,Front Psychol,2016,,Low contrast gratings,20,420,420,2,confidence rating and visibility,continuous (-12 to 12),no,contrast,
Perception,Rausch_2018_Expt1,Rausch et al,"Attention, Perception, & Psychophysics",2018,Expt 1,Masked gratings,20,600,600,1,confidence rating,continuous (-1 to 1),yes,stimulus-onset-asynchrony,
Perception,Rausch_2018_Expt2,Rausch et al,"Attention, Perception, & Psychophysics",2018,Expt 2,Masked gratings,39,600,600,1,confidence rating,continuous (-1 to 1),no,stimulus-onset-asynchrony,
Perception,Rausch_2020,"Rausch, Zehetleitner, Steinhauser, & Maier",NeuroImage,2020,,Masked oriented gratings,25,800,1000,1,confidence scale,4-point,no,stimulus-onset-asynchrony,
Perception,Recht_unpub,"Recht, de Gardelle & Mamassian",Unpublished,,,Gabors,10,1680,1680,2,confidence rating,2-point,no,"Cue validity (50%), cue position, cue-to-target onset asynchrony (5 CTOAs)",
Perception,Reyes_2015,Reyes et al.,PlosOne,2015,,Gabors,27,400,440,1,confidence rating,continuous (1-6),no,contrast,
Perception,Reyes_unpub,Reyes et al.,Submitted,,,Gabors,46,181,300,2,confidence rating,continuous (1-6),no,contrast,
Perception,Rouault_2018_Expt1,"Rouault, Seow, Gillan, Fleming",Biol. Psychiatry,2018,Expt 1,dots,498,210,210,1,confidence rating,11-point,no,,
Perception,Rouault_2018_Expt2,"Rouault, Seow, Gillan, Fleming",Biol. Psychiatry,2018,Expt 2,dots,497,210,210,1,confidence rating,6-point,no,,"N=25 substance dependent individuals, N=25 healthy control individuals"
Perception,Rouault_2019,"Rouault, Dayan, Fleming",Nat Commun,2019,Expt 3,dots,73,360,360,1,confidence rating,continuous (50-100),no,feedback/no feedback,
Perception,Rouault_2020,"Rouault, Fleming",PNAS,2020,Metacognition Experiment,dots,41,133,200,1,confidence rating,6-point,no,two difficulty levels,"N=25 substance dependent individuals, N=25 healthy control individuals"
Memory,Sadeghi_2017_memory,Sadeghi et al,Scientific Reports,2017,Memory task,words,50,200,200,1,confidence rating,6-point,no,,
Perception,Sadeghi_2017_perception,Sadeghi et al,Scientific Reports,2017,Perceptual task,gabors,50,180,180,1,confidence rating,6-point,no,,
Mixed (Perception & Working Memory),Samaha_2016,"Samaha, Barrett, Sheldon, LaRocque, Postle",Front Psychol,2016,,Gratings + white noise,15,560,560,4,confidence rating,4-point,no,"positive evidence (high or low), task (working memory or perception), working memory load (1 or 3 items)",
Mixed (Perception & Working Memory),Samaha_2017_exp1,Samaha & Postle,Proceedings of the Royal Society: B,2017,Expt 1,Gratings + white noise,20,292,420,4,confidence rating,4-point,no,"positive evidence (high or low), task (working memory or perception)",
Mixed (Perception & Working Memory),Samaha_2017_exp2,Samaha & Postle,Proceedings of the Royal Society: B,2017,Expt 2,Gratings + white noise,20,240,300,2,confidence rating,4-point,no,"positive evidence (high or low), delay (parametric: 0.6 to 12 sec)",
Mixed (Perception & Working Memory),Samaha_2017_exp3,Samaha & Postle,Proceedings of the Royal Society: B,2017,Expt 3,Gratings + white noise,20,700,900,3,confidence rating,4-point,no,"Task: orientation perception, contrast percepton, orientation working memory",
Memory,Schmidt_2019_memory,Schmidt et al.,Consc Cog,2019,,Words,27,399,400,2,confidence rating,continuous (1-6),no,recogniton memory,
Perception,Schmidt_2019_perception,Schmidt et al.,Consc Cog,2019,,Gabors,27,300,600,2,confidence rating,continuous (1-6),no,contrast,
Memory,Schurgin_2018,"Schurgin, Wixted & Brady",bioRxiv,2018,,colors,70,300,300,1,confidence rating,6-point,no,set size of working memory load,
Cognitive,Seow_2019,Seow & Gillan,bioRxiv,2019,,particle shoot,589,300,300,1,confidence rating,continuous (1-100),no,volatility changes,
Perception,Shekhar_2018,Shekhar & Rahnev,JNeuroscience,2018,,Gabors,19,720,720,3,confidence rating,4-point,yes,"TMS to aPFC, DLPFC and S1",
Perception,Shekhar_2021,Shekhar & Rahnev,Psych Review,2021,4,Gabors,20,2800,2800,1,confidence rating,continuous (50-100),yes,3 interleaved contrasts,
Perception,Sherman_2016_JN,Sherman et al,Journal of Neuroscience,2016,,Gabors,19,216,504,6,confidence rating,2-point,no,"Attention (single task vs dual task), Probability of Gabor presence (25%, 75%)",
Perception,Sherman_2016_JOCN,Sherman et al,Journal of Cognitive Neuroscience,2016,,Gabors,18,768,3264,4,confidence rating,4-point,no,"Attention (single task vs dual task), Probability of Gabor presence (25%, 50%, 75%)",
Perception,Sherman_unpub_Expt1,Sherman et al,Unpublished,,Expt 1,Gabors,46,549,960,4,confidence rating,continuous (50-100),no,"Positive evidence (low, high), Expected positive evidence (low, high",
Perception,Sherman_unpub_Expt2,Sherman et al,Unpublished,,Expt 2,Random Dot Kinematogram,24,560,840,6,confidence rating,continuous (50-100),no,"Difficulty (easy, hard), Probability of difficult task (0.25, 0.50, 0.75)",
Cognitive,Siedlecka_2016,"Siedlecka, Paulewicz, Wierzcho_",Frontiers in Psychology,2016,,words,97,32,32,3,confidence rating (prospective & retrospective),4-point,no,the order of task response and confidence scale (bewteen subjects),
Cognitive,Siedlecka_2018_bioRxiv,"Siedlecka, Skóra, Paulewicz, Wierzcho_",bioRxiv,2018,,words,143,40,40,3,confidence rating (prospective & retrospective),4-point,no,the order of task response and confidence scale (bewteen subjects),
Perception,Siedlecka_2019,"Siedlecka, Wereszczy_ski, Paulewicz, Wierzcho_",bioRxiv,2019,,Gabor graitings,37,400,400,2,PAS ,4-point,no,presence or absense of accuracy feedback (within subjects),
Memory,Siedlecka_2019_Exp1,"Siedlecka, Skóra, Paulewicz, Fija_kowska, Timmermans, & Wierzcho_",JEP:LMC,2018,Expt 1,words,38,162,162,2,confidence rating (prospective & retrospective),4-point,no,the order of task response and confidence scale (between subjects),
Memory,Siedlecka_2019_Exp2,"Siedlecka, Skóra, Paulewicz, Fija_kowska, Timmermans, & Wierzcho_",JEP:LMC,2018,Expt 2,words,55,162,162,2,confidence rating (prospective & retrospective),4-point,no,the order of task response and confidence scale (between subjects),
Perception,Siedlecka_2021,"Siedlecka, Koculak, Paulewicz",Psychonomic Bulletin & Review,2021,Expt 1,Grids of dots,54,733,780,2,confidence rating,4-point,no,behavioral reaction + difficulty of the task,
Memory,Siedlecka_unpub,"Siedlecka, Paulewicz, Wierzcho_",Unpublished,,,words,20,108,216,1,"confidence ratings, prospective",4-point,no,the number of words starting with the same letter (within subjects),
Cognitive,Sinanaj_2015,Sinanaj et al.,Consc Cog,2015,,visual trajectories,29,273,295,1,confidence rating,5-point,no,angle of deviation introduced in the trajectory that participants are drawing,
Mixed (Perception & Working Memory),Skora_2016,Skóra & Wierzcho_,Journal of Cognitive Psychology,2016,Expt 3,rectangles,19,360,360,3,visibility,4-point,no,time between memory array offset and cue onset,
Memory,Skora_unpub,"Skóra, Del Pin, & Wierzcho_",Unpublished,,,natural objects,41,360,360,3,visibility,4-point,no,target distance from retro-cue,
Perception,Song_2011,Song et al,Consciousness & Cognition,2011,,Gabors,18,1080,1080,2,confidence rating,6-point,no,none,'large angle' 22 deg from vertical
Cognitive,Teuchies_2019,Teuchies et al.,bioRxiv,2019,,metacontrast masking arrows,30,216,216,3,subjective difficulty,continuous (1-100),no,congruent vs incongruent priming,'small angle' 5 deg from vertical
